1	9.33648	35	43	520488	16143848	518349
1	6.34846	88	99	8402739	11139731	8329394
1	6.16995	84	93	7939580	10823945	7932032
1	4.52518	94	75	5568893	7880167	5568720
1	5.89535	85	71	7253925	10233207	7253750
1	5.77809	84	69	7097406	10035495	7097213
1	4.18954	92	73	5253995	7369981	5253829
1	5.60852	82	77	6889752	9747116	6889546
1	5.35388	81	69	6547601	9300693	6547418
1	5.37005	82	93	6711994	9512631	6709668
1	3.87608	84	59	4943983	6753542	4943807
1	4.8713	74	65	5961492	8460140	5961316
1	4.75632	75	65	5816740	8246098	5816574
1	4.78622	72	65	5866375	8314368	5866202
1	6.04467	85	91	7514286	10486614	7511188
1	5.46395	77	83	6690174	9486199	6689680
1	3.16308	73	53	4214152	5505742	4213971
1	5.1014	53	65	6136575	8964656	6136394
1	5.2133	71	69	6334215	9116312	6334038
1	5.05747	71	79	6105816	8731013	6105610
1	4.91356	73	75	5897721	8542539	5897500
