1	9.28178	55	63	2793691	16039488	2608454
2	9.30624	47	61	2756188	16076449	2718259
4	9.3536	53	59	6369518	16194834	6280633
8	9.36256	53	63	3156123	16186363	3101121
16	9.33805	63	59	2768733	16158651	2712145
32	9.31946	67	61	3039723	16148983	2982154
48	9.31392	65	63	3000615	16154899	2945831
64	9.29927	63	65	3051818	16149072	2991225
128	9.10939	86	80	6776557	15811474	6549172
256	9.16357	100	87	9335611	16981918	9275546
512	9.12691	98	87	9517505	17015631	9497871
1000	9.01459	98	87	9460345	17025923	9438635
