1	7.97194	31.66	0.48	0.0	28.85	5.53	0.0	964703	14524717	549753
2	8.82237	30.15	0.62	0.0	44.35	0.0	0.0	1081322	15514875	675056
4	9.34099	32.67	0.66	0.0	43.3	0.55	0.0	1304311	16150421	922308
8	9.36929	38.38	1.96	0.0	65.88	0.76	0.0	1836027	16190423	1638867
16	9.35653	45.73	1.71	0.0	62.14	0.97	0.0	1867876	16179522	1736257
32	9.33653	51.42	0.47	0.0	63.53	0.27	0.0	1871148	16169709	1734198
64	9.29853	52.16	2.65	0.0	70.6	3.9	0.0	2656893	16136960	2561261
128	9.24944	54.65	100.0	0.0	87.51	5.08	0.0	8593735	16087709	8552152
256	8.57482	54.6	100.0	0.0	72.11	73.6	0.14	8207611	14926224	8183165
512	9.00257	59.29	100.0	0.0	75.32	88.6	0.0	8906261	15882112	8868868
1000	7.68406	59.26	100.0	0.0	63.92	93.22	0.0	7147171	13769162	7119341
