1	9.31584	37	31	1042877	16086113	647439
1	9.29645	39	33	1155900	16053075	745795
1	9.0838	35	35	1043999	15770787	606930
1	9.14489	35	37	1301704	15896096	869844
1	9.0806	35	35	1059686	15773564	622142
1	8.95003	39	32	1046732	15573012	618548
1	9.1829	33	33	1383441	15870873	964224
1	9.21995	45	39	1766962	15883594	1386876
1	9.00872	41	41	1649533	15656684	1332426
1	9.32224	47	55	3581140	16101597	3309307
1	9.14438	53	61	4666067	15806078	4403604
1	9.16237	79	67	6100142	15809203	5784519
1	9.14937	61	74	7498312	15780476	7202046
1	9.17204	69	80	8538076	15821068	8283184
1	6.04761	65	69	6468865	10636137	6366663
1	8.06699	96	84	9463051	14088788	9366550
1	7.34127	94	83	9090372	12795565	9036016
1	7.147	92	82	9157811	12522375	9124053
1	4.92752	41	69	6603616	8757306	6590339
1	4.86077	43	67	6541911	8655580	6535010
1	6.4303	88	77	8561055	11352761	8556442
