1	9.21448	34.48	0.12	0.0	28.81	0.0	0.1	1100814	15778549	686283
2	9.19552	34.32	0.73	0.0	34.24	1.07	0.21	1164125	15876402	744503
4	9.22024	33.19	0.4	0.0	45.9	0.52	0.0	1591784	16017374	1238394
8	9.35948	46.58	1.4	0.0	50.9	1.38	0.11	1873503	16185455	1746474
16	9.34235	51.28	0.93	0.0	52.7	0.49	0.11	1897533	16169743	1748879
32	9.33076	51.84	1.34	0.0	52.45	3.97	0.11	2093378	16167520	2002343
64	9.30917	52.2	1.03	0.0	53.17	28.14	0.11	2157462	16168585	2053732
128	9.2461	53.37	3.52	0.0	63.71	64.09	0.0	3405158	16106813	3339698
256	9.07235	60.29	100.0	0.0	76.58	85.69	0.0	6097894	15850884	5979850
512	8.86469	66.08	100.0	0.0	74.04	82.08	0.0	5471278	15680463	5349310
1000	8.61618	70.09	100.0	0.0	73.75	79.72	0.0	5086385	15559745	4963239
