1	9.04831	49	59	2332464	15750831	2287435
2	9.35388	53	65	2988837	16155535	2649382
4	8.60555	53	85	3919829	15420138	3163951
8	9.37245	59	83	4861375	16191753	4465546
16	9.34911	59	69	2874575	16161176	2758102
32	9.32606	65	79	3571585	16143660	3380614
48	9.29651	71	85	4429079	16111488	4263030
64	9.25928	74	86	5063231	16060063	4939676
128	9.07897	88	96	8442006	15779398	8202820
256	9.14145	98	99	10729352	17040361	10635528
512	9.0863	100	98	10376474	17049487	10315999
1000	8.92422	98	96	10527757	17051406	10469544
